_id,APPLICATION#,APPLICATION_TYPE,DATE_SUBMITTED,DESCRIPTION,HEARING_DATE,POSTAL,REFERENCE_FILE#,STATUS,STREET_DIRECTION,STREET_NAME,STREET_NUM,STREET_TYPE,X,Y,APPLICATION_NUMBER,REFERENCE_FILE_NUMBER
7975967,,MV,2022-01-19,To construct a two storey rear addition and detached accessory structure.,2022-04-14,M4G,,Closed, ,THURSFIELD,14,CRES,316126.993,4841618.133,22 105557 NNY 15 MV,A0067/22NY
7975968,,MV,2022-03-30,To construct a new SFD w/ a building height fo 8.50m and a GFA of 184.23m2.,,M8W,,Postponed, ,FOCH,12,AVE,301124.107,4827945.433,22 128504 WET 03 MV,A0218/22EYK
7975969,,MV,2022-03-30,To construct a new SFD w/ a building height fo 8.50m and a GFA of 184.23m2.,,M8W,,Postponed, ,FOCH,12,AVE,301124.107,4827945.433,22 128510 WET 03 MV,A0219/22EYK
7975970,,MV,2022-03-30,"To convert the ground and second floors of the existing mixed-use commercial building into offices, and to convert the basement into a kitchen and dining area and for mechanical and storage uses. Also, to reconstruct the front steps and install a canopy above.",2022-08-31,M5R,,Accepted, ,SCOLLARD,86,ST,313524.316,4836680.79,22 128536 STE 11 MV,A0407/22TEY
7975971,,MV,2022-03-30,Proposal to construct a new dwelling.,2022-06-09,M3B,,Hearing Scheduled, ,NORDEN,2,CRES,316875.329,4844020.925,22 128559 NNY 16 MV,A0224/22NY
7975972,,TLAB,2022-05-12,To construct a new detached dwelling with an attached garage. *Appeal filed within the appeal deadline.*,,M8V,,Hearing Scheduled, ,SECOND,31,ST,304869.117,4828829.05,22 145759 S45 03 TLAB,22-145759
7975973,,MV,2022-05-12,To demolish existing dwelling and to construct a new two-storey detached dwelling with integral garage.,2022-06-23,M1C,,Hearing Scheduled, ,MORRISH,755,RD,330844.01,4850689.257,22 145772 ESC 25 MV,A0102/22SC
7975974,,MV,2021-11-04,"To construct a new three-storey detached dwelling with: a front covered porch, a rear covered ground floor deck, a front third storey juliette balcony, and a rear third storey balcony. The existing rear detached garage will be demolished, and no parking spaces will be provided.",2022-02-23,M6C,,Closed, ,RUSHTON,632,RD,310245.03,4838693.771,21 234305 STE 12 MV,A1378/21TEY
7975975,,SA,2022-01-07,"Site Plan approval for a 4-storey residential building containing 18 units and rear two-storey laneway suite containing 2 units, and having a combined floor area of 1432.60 square metres.",,M6G,,Under Review , ,OSSINGTON,693,AVE,310838.863,4835463.843,22 101515 STE 11 SA,
7975976,,SA,2022-01-07,"Site Plan approval for a 4-storey residential building containing 18 units and rear two-storey laneway suite containing 2 units, and having a combined floor area of 1432.60 square metres.",,M6G,,Under Review , ,OSSINGTON,695,AVE,310834.09,4835471.867,22 101515 STE 11 SA,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,
